id,type,name,alias,net worth,occupation,sex,age,price
wa,1,Wylie Aronow,Gordon Goner,NA,YL Gründer,m,36,NA
gs,1,Greg Solano,Crypto Gaga,NA,YL Gründer,m,33,NA
ka,1,Kerem Atalay,Emperor Tomato Ketchup,NA,YL Gründer,m,35,NA
za,1,Zeshan Ali,Sass,NA,YL Gründer,m,35,NA
nm,1,Nicole Muniz,NA,NA,YL CEO,f,38,NA
js,1,Jasmin Shoemaker,NA,NA,YL COO,f,41,NA
pe,1,Patrick Ehrlund,NA,NA,YL CCO,m,NA,NA
cl,1,Christopher Lyons,NA,NA,YL Vorstandsmitglieder,m,NA,NA
ao,1,Alexis Ohanian,NA,NA,YL Vorstandsmitglieder,m,NA,NA
aw,1,Amy Wu,NA,NA,YL Vorstandsmitglieder,f,24,NA
mb,1,Maaria Bajwa,NA,NA,YL Vorstandsmitglieder,f,NA,NA
md,1,Madonna,NA ,1 Milliarde,Sängerin,f,65,466.000
go,1,Guy Oseary ,NA,90 Millionen,Talentmanager ,m,52,NA
yl,2,Yuga Labs ,NA ,4 Milliarden ,NA ,NA ,NA ,NA 
ssa,2,Scott + Scott Attorneys,NA ,NA ,NA ,NA ,NA ,NA 
