id,type,name,alias,net worth,occupation,sex,age,price
wa,1,Wylie Aronow,Gordon Goner,NA,1,m,1986,NA
gs,1,Greg Solano,Crypto Garga,NA,1,m,1990,NA
ka,1,Kerem Atalay,Emperor Tomato Ketchup,NA,1,m,1988,NA
za,1,Zeshan Ali,Sass,NA,1,m,1988,NA
nm,1,Nicole Muniz,NA,NA,2,f,1985,NA
js,1,Jasmin Shoemaker,NA,NA,2,f,1982,NA
pe,1,Patrick Ehrlund,NA,NA,2,m,NA,NA
cl,1,Christopher Lyons,NA,NA,2,m,NA,NA
ao,1,Alexis Ohanian,NA,NA,2,m,NA,NA
aw,1,Amy Wu,NA,NA,2,f,1999,NA
mb,1,Maaria Bajwa,NA,NA,2,f,NA,NA
mlc,1,Madonna Louise Ciccone,NA,1000,3,f,1958,466.000
go,1,Guy Oseary ,NA,90,3,m,1972,NA
yl,2,Yuga Labs,NA,4000,5,NA,NA,NA
ssa,2,Scott + Scott Attorneys,NA,NA,5,NA,NA,NA
mc,1,Mark Cuban,NA,4000,5,m,1958,NA
sc,1,Stephen Curry,NA,150,3,m,1988,180.000
sa,1,Steve Aoki,NA,110,3,m,1977,NA
ksi,1,KSI,NA,30,3,m,1993,NA
sn,1,Shaquille O’Neal,NA,400,3,m,1972,14.000
tc,1,The Chainsmokers,NA,120,3,m," 1989, 1985",210.000
ms,1,Mike Shinoda,NA,65,3,m,1977,NA
mam,1,Marshmello,NA,45,3,m,1992,220.000
rtk,1,Rich the Kid,NA,10,3,m,1992,NA
jf,1,Jimmy Fallon,NA,60,3,m,1974,224.000
djk,1,DJ Khaled,NA,70,3,m,1975,227.000
ft,1,Future,NA,50,3,m,1983,223.000
pm,1,Post Malone,NA,45,3,m,1995,NA
tb,1,Timbaland,NA,85,3,m,1972,NA
lb,1,Lil Baby,NA,4,3,m,1994,150.000
db,1,Dez Bryant,NA,45,3,m,1988,20.000
lp,1,Logan Paul,NA,245,3,m,1995,NA
sd,1,Snoop Dogg,NA,150,3,m,1971,NA
em,1,Eminem,NA,230,3,m,1972,462.000
mm,1,Meek Mill,NA,185,3,m,1987,241.000
nj,1,Neymar Jr.,NA,250,3,m,1992,481.600
sw,1,Serena Williams,NA,185,3,f,1981,414.000
